File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF028OXA	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR197INS	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PPIL4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF036ZXE/	4600017	Gene Yeo, UCSD	91f6c00170250cfa28f548a2eae87786		https://www.encodeproject.org/files/ENCFF028OXA/@@download/ENCFF028OXA.bigBed				released	s3://encode-public/2016/12/02/11d06fa6-73ce-4759-87de-29fee02805b7/ENCFF028OXA.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF178WNA	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR197INS	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PPIL4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF987VIP/	2888604	Gene Yeo, UCSD	b4ecba83857ad922eb6d0c30a8cdfb23		https://www.encodeproject.org/files/ENCFF178WNA/@@download/ENCFF178WNA.bigBed				released	s3://encode-public/2016/12/03/719d6ea2-05a9-467b-98e4-d3c704185f17/ENCFF178WNA.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF410EMT	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR197INS	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PPIL4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF220VDV/	4594843	Gene Yeo, UCSD	680ba637184d16a1b54089708e09565c		https://www.encodeproject.org/files/ENCFF410EMT/@@download/ENCFF410EMT.bigBed				released	s3://encode-public/2016/12/03/58aa5eb4-bcc1-4ff7-a30a-e9be6d374f3b/ENCFF410EMT.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF005DWR	fastq	fastq		reads		ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1	44		paired-ended	1	/files/ENCFF463FQZ/			482730678	Gene Yeo, UCSD	8ba5b0696184802c179b49b72f968e1b	SRA:SRR5111355	https://www.encodeproject.org/files/ENCFF005DWR/@@download/ENCFF005DWR.fastq.gz		Illumina HiSeq 4000	/files/ENCFF431WVH/	released	s3://encode-public/2016/03/17/452ded1c-5756-4fb1-845a-f82a46ecd6a1/ENCFF005DWR.fastq.gz					
ENCFF268WIE	fastq	fastq		reads		ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1	44		paired-ended	1	/files/ENCFF449AWG/			477584112	Gene Yeo, UCSD	3b1cb7696226ed15d9fd4f693d94cbf2	SRA:SRR5111354	https://www.encodeproject.org/files/ENCFF268WIE/@@download/ENCFF268WIE.fastq.gz		Illumina HiSeq 4000	/files/ENCFF431WVH/	released	s3://encode-public/2016/03/17/6c96ed94-c38f-40e8-87d4-a67cb9a668c7/ENCFF268WIE.fastq.gz					
ENCFF463FQZ	fastq	fastq		reads		ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1	45		paired-ended	2	/files/ENCFF005DWR/			513652918	Gene Yeo, UCSD	892f17965ce90026ff0e79640546ae76	SRA:SRR5111355	https://www.encodeproject.org/files/ENCFF463FQZ/@@download/ENCFF463FQZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF159ANK/	released	s3://encode-public/2016/03/17/30773f93-27f3-4bfa-9354-ffb5c73aebfa/ENCFF463FQZ.fastq.gz					
ENCFF449AWG	fastq	fastq		reads		ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1	45		paired-ended	2	/files/ENCFF268WIE/			502239334	Gene Yeo, UCSD	16f8abccbecb96fcc1696067153840ff	SRA:SRR5111354	https://www.encodeproject.org/files/ENCFF449AWG/@@download/ENCFF449AWG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF159ANK/	released	s3://encode-public/2016/03/17/109e834d-f76f-4e8a-b7c9-a1a7f747615f/ENCFF449AWG.fastq.gz					
ENCFF681CLC	bam	bam		alignments	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF005DWR/, /files/ENCFF463FQZ/	63877581	Gene Yeo, UCSD	552a48e9a9160a429c901a7eca2f2d93		https://www.encodeproject.org/files/ENCFF681CLC/@@download/ENCFF681CLC.bam				released	s3://encode-public/2016/03/17/5974f8fe-e676-4c14-b659-1875fc24347c/ENCFF681CLC.bam	Lab custom hg19	archived			
ENCFF430NNZ	bam	bam		alignments	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF268WIE/, /files/ENCFF449AWG/	49149874	Gene Yeo, UCSD	49c180660db139f6081d0b5bd63866ff		https://www.encodeproject.org/files/ENCFF430NNZ/@@download/ENCFF430NNZ.bam				released	s3://encode-public/2016/03/17/7d84303e-1f14-4a83-b9b8-90e7c941a878/ENCFF430NNZ.bam	Lab custom hg19	archived			
ENCFF803GSP	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF681CLC/, /files/ENCFF661HIT/, /files/ENCFF067EPR/, /files/ENCFF430NNZ/, /files/ENCFF039QTN/, /files/ENCFF062WUD/	880	Gene Yeo, UCSD	5f06975189a0faf87c286fbd8788393c		https://www.encodeproject.org/files/ENCFF803GSP/@@download/ENCFF803GSP.bed.gz				released	s3://encode-public/2018/06/08/bb9d5dcf-ec4f-4d19-a128-5a4bc13a4827/ENCFF803GSP.bed.gz	Lab custom hg19	archived			
ENCFF646GUE	bam	bam		alignments	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF268WIE/, /files/ENCFF449AWG/	46599661	Gene Yeo, UCSD	436658e7a13f48ec8a5cd66b8a1fb825		https://www.encodeproject.org/files/ENCFF646GUE/@@download/ENCFF646GUE.bam				released	s3://encode-public/2016/09/09/65753443-0f53-4492-ba2a-9682a5b4b5fb/ENCFF646GUE.bam	Lab custom GRCh38	released			
ENCFF896PKL	bam	bam		alignments	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF005DWR/, /files/ENCFF463FQZ/	61452669	Gene Yeo, UCSD	68cffb66e58fbc780082e05263885325		https://www.encodeproject.org/files/ENCFF896PKL/@@download/ENCFF896PKL.bam				released	s3://encode-public/2016/09/09/0568e602-527e-44cb-9d0a-9bb096f8bb3f/ENCFF896PKL.bam	Lab custom GRCh38	released			
ENCFF920RVJ	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF430NNZ/	3031851	Gene Yeo, UCSD	0c32611632109a5f019055e7d92dbb16		https://www.encodeproject.org/files/ENCFF920RVJ/@@download/ENCFF920RVJ.bigWig				released	s3://encode-public/2016/11/08/4b3a421c-ae72-40f9-8b2c-3c2f58f69b29/ENCFF920RVJ.bigWig	Lab custom hg19	archived			
ENCFF130YDY	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF681CLC/	3672425	Gene Yeo, UCSD	40d45efc798f4de65a57e2d45e0f8e63		https://www.encodeproject.org/files/ENCFF130YDY/@@download/ENCFF130YDY.bigWig				released	s3://encode-public/2016/11/08/2af8c71f-b7d0-4daf-bf81-453c0e650f67/ENCFF130YDY.bigWig	Lab custom hg19	archived			
ENCFF744FMW	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF430NNZ/	3190933	Gene Yeo, UCSD	0c7d9ff62b796a5efc99f93ad727ba23		https://www.encodeproject.org/files/ENCFF744FMW/@@download/ENCFF744FMW.bigWig				released	s3://encode-public/2016/11/09/543085e9-efac-4d43-b155-11d7f15c7175/ENCFF744FMW.bigWig	Lab custom hg19	archived			
ENCFF696XRM	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF681CLC/	3842296	Gene Yeo, UCSD	d31c2ec73090d29ea8edc14a11f841b1		https://www.encodeproject.org/files/ENCFF696XRM/@@download/ENCFF696XRM.bigWig				released	s3://encode-public/2016/11/09/bb61ecb9-df0b-42bc-8d0e-9d16cacbe1de/ENCFF696XRM.bigWig	Lab custom hg19	archived			
ENCFF376NMQ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF896PKL/	3553631	Gene Yeo, UCSD	d021d4ef2b139f70bc07f1a063027539		https://www.encodeproject.org/files/ENCFF376NMQ/@@download/ENCFF376NMQ.bigWig				released	s3://encode-public/2016/11/09/8c3950f7-f331-48ae-a1ae-c05dc6898be3/ENCFF376NMQ.bigWig	Lab custom GRCh38	released			
ENCFF750TDL	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF646GUE/	2936335	Gene Yeo, UCSD	8ba84ead4de065ef0cdb2c0cc4a9bc88		https://www.encodeproject.org/files/ENCFF750TDL/@@download/ENCFF750TDL.bigWig				released	s3://encode-public/2016/11/09/64672de5-5632-4286-943c-7145dccc9ae5/ENCFF750TDL.bigWig	Lab custom GRCh38	released			
ENCFF676SJK	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF646GUE/	3089109	Gene Yeo, UCSD	faf1aaf361630c787bdf65d5994f59d8		https://www.encodeproject.org/files/ENCFF676SJK/@@download/ENCFF676SJK.bigWig				released	s3://encode-public/2016/11/09/fc0f74b8-83fa-4d14-a278-40b25c8cbbd8/ENCFF676SJK.bigWig	Lab custom GRCh38	released			
ENCFF142OTS	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF896PKL/	3753386	Gene Yeo, UCSD	013c05fc8e6dfc845d25763180b3c431		https://www.encodeproject.org/files/ENCFF142OTS/@@download/ENCFF142OTS.bigWig				released	s3://encode-public/2016/11/09/37db2664-7942-45a4-a061-4b89eef43b63/ENCFF142OTS.bigWig	Lab custom GRCh38	released			
ENCFF313WDF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF650CMA/, /files/ENCFF536KJC/, /files/ENCFF896PKL/, /files/ENCFF269URO/, /files/ENCFF606CVG/, /files/ENCFF646GUE/	1307	Gene Yeo, UCSD	c127bc6a310650f101d9e6e5851fbfe8		https://www.encodeproject.org/files/ENCFF313WDF/@@download/ENCFF313WDF.bed.gz				released	s3://encode-public/2018/12/03/45f347ac-0a20-4ec1-aeb8-130f8b29c3f6/ENCFF313WDF.bed.gz	Lab custom GRCh38	released			
ENCFF661HIT	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF430NNZ/, /files/ENCFF067EPR/	146835	Gene Yeo, UCSD	b0a75ff2f6441b6bcda10c4b44895ea1		https://www.encodeproject.org/files/ENCFF661HIT/@@download/ENCFF661HIT.bed.gz				released	s3://encode-public/2016/11/30/d2398f86-42db-43fa-b8a3-74a5da0aba8d/ENCFF661HIT.bed.gz	Lab custom hg19	archived			
ENCFF062WUD	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF681CLC/, /files/ENCFF067EPR/	223652	Gene Yeo, UCSD	e6317466886370071c9c927748f73102		https://www.encodeproject.org/files/ENCFF062WUD/@@download/ENCFF062WUD.bed.gz				released	s3://encode-public/2016/11/30/1cdc13de-e801-49df-a418-5c8b04febc8e/ENCFF062WUD.bed.gz	Lab custom hg19	archived			
ENCFF606CVG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF646GUE/, /files/ENCFF536KJC/	139548	Gene Yeo, UCSD	8601c2e4e29bed1e7a3329a64c4fe6e7		https://www.encodeproject.org/files/ENCFF606CVG/@@download/ENCFF606CVG.bed.gz				released	s3://encode-public/2016/11/30/15cdcc51-850f-47a4-bb4d-311c6ed291f3/ENCFF606CVG.bed.gz	Lab custom GRCh38	released			
ENCFF650CMA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF896PKL/, /files/ENCFF536KJC/	215384	Gene Yeo, UCSD	d562e626ba4ff7eb4014c25de6bf891b		https://www.encodeproject.org/files/ENCFF650CMA/@@download/ENCFF650CMA.bed.gz				released	s3://encode-public/2016/11/30/a59cef1c-22fb-4870-a445-9a0c8a6d9361/ENCFF650CMA.bed.gz	Lab custom GRCh38	released			
ENCFF529LLH	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF062WUD/	508642	Gene Yeo, UCSD	8383ebd07ee8a5730bdfea4a82532e58		https://www.encodeproject.org/files/ENCFF529LLH/@@download/ENCFF529LLH.bigBed				released	s3://encode-public/2016/12/02/a38949a1-8585-4dc8-b51d-60998571eb4b/ENCFF529LLH.bigBed	Lab custom hg19	archived			
ENCFF390SSK	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF661HIT/	379580	Gene Yeo, UCSD	34e2823d1b1d036ac3d99fc25502e710		https://www.encodeproject.org/files/ENCFF390SSK/@@download/ENCFF390SSK.bigBed				released	s3://encode-public/2016/12/02/4d42bbad-4e63-4d02-a4ea-d5a858155e2d/ENCFF390SSK.bigBed	Lab custom hg19	archived			
ENCFF893JWN	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF650CMA/	494399	Gene Yeo, UCSD	57310f0b9c717f1d657448c4373497f3		https://www.encodeproject.org/files/ENCFF893JWN/@@download/ENCFF893JWN.bigBed				released	s3://encode-public/2016/12/03/3026ff74-3e5d-4747-a5ae-edda265c8ab2/ENCFF893JWN.bigBed	Lab custom GRCh38	released			
ENCFF980TVG	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR269AJF	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RPS11-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF606CVG/	364899	Gene Yeo, UCSD	f1fd7f0aef18645ce56e0b065ba39ee4		https://www.encodeproject.org/files/ENCFF980TVG/@@download/ENCFF980TVG.bigBed				released	s3://encode-public/2016/12/03/2130705d-0096-477e-a55a-ddc0cc2c04ea/ENCFF980TVG.bigBed	Lab custom GRCh38	released			
ENCFF894RPF	fastq	fastq		reads		ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1	44		paired-ended	1	/files/ENCFF345TKW/			721191534	Gene Yeo, UCSD	8c487da958b31e8c232611282056469d	SRA:SRR5111689	https://www.encodeproject.org/files/ENCFF894RPF/@@download/ENCFF894RPF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF986GFV/	released	s3://encode-public/2016/03/17/1e41b17a-7944-4a41-a999-571bfb25513f/ENCFF894RPF.fastq.gz					
ENCFF399OEH	fastq	fastq		reads		ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1	44		paired-ended	1	/files/ENCFF582GSU/			785289849	Gene Yeo, UCSD	c0e4737311538fbfba5295b2f121de87	SRA:SRR5111690	https://www.encodeproject.org/files/ENCFF399OEH/@@download/ENCFF399OEH.fastq.gz		Illumina HiSeq 4000	/files/ENCFF986GFV/	released	s3://encode-public/2016/03/17/e7835a42-45c1-4bf5-a4e2-6564e74080a8/ENCFF399OEH.fastq.gz					
ENCFF582GSU	fastq	fastq		reads		ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1	45		paired-ended	2	/files/ENCFF399OEH/			824714851	Gene Yeo, UCSD	42777c13b14046fbdb84a5b3d5d1739a	SRA:SRR5111690	https://www.encodeproject.org/files/ENCFF582GSU/@@download/ENCFF582GSU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF491PHA/	released	s3://encode-public/2016/03/17/70ddb290-683e-40d8-9f9c-4923c1787931/ENCFF582GSU.fastq.gz					
ENCFF345TKW	fastq	fastq		reads		ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1	45		paired-ended	2	/files/ENCFF894RPF/			754643731	Gene Yeo, UCSD	fa3ba0fc23d289643c1dd4fb676aa9f5	SRA:SRR5111689	https://www.encodeproject.org/files/ENCFF345TKW/@@download/ENCFF345TKW.fastq.gz		Illumina HiSeq 4000	/files/ENCFF491PHA/	released	s3://encode-public/2016/03/17/14e54b3b-8d35-42ad-8a8b-de232279cbe8/ENCFF345TKW.fastq.gz					
ENCFF910QNU	bam	bam		alignments	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF399OEH/, /files/ENCFF582GSU/	153311431	Gene Yeo, UCSD	c09dfca0c5af032e6c983754cae46f64		https://www.encodeproject.org/files/ENCFF910QNU/@@download/ENCFF910QNU.bam				released	s3://encode-public/2016/03/17/c90659cf-d0b6-40f8-ae8b-0d37225cfcc9/ENCFF910QNU.bam	Lab custom hg19	archived			
ENCFF307XYP	bam	bam		alignments	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF894RPF/, /files/ENCFF345TKW/	250625794	Gene Yeo, UCSD	3447d7b4fac2ab521eca281a61e91e91		https://www.encodeproject.org/files/ENCFF307XYP/@@download/ENCFF307XYP.bam				released	s3://encode-public/2016/03/17/6b58b92b-bd34-48f5-9e17-2596f85212d5/ENCFF307XYP.bam	Lab custom hg19	archived			
ENCFF509AKB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF365ZFZ/, /files/ENCFF910QNU/, /files/ENCFF033ZLA/, /files/ENCFF039QTN/, /files/ENCFF040CEA/, /files/ENCFF307XYP/	8902	Gene Yeo, UCSD	e7c40685a888d4057a601c18699bd802		https://www.encodeproject.org/files/ENCFF509AKB/@@download/ENCFF509AKB.bed.gz				released	s3://encode-public/2018/06/08/5f5247f6-6b19-466a-bb3a-a9ed0975e8bc/ENCFF509AKB.bed.gz	Lab custom hg19	archived			
ENCFF273ZJR	bam	bam		alignments	GRCh38	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF894RPF/, /files/ENCFF345TKW/	237853159	Gene Yeo, UCSD	410e7b38645baf0e909f5de75bb55696		https://www.encodeproject.org/files/ENCFF273ZJR/@@download/ENCFF273ZJR.bam				released	s3://encode-public/2016/09/09/215f23a5-001d-400e-9bea-f84c54e239eb/ENCFF273ZJR.bam	Lab custom GRCh38	released			
ENCFF259AFA	bam	bam		alignments	GRCh38	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF399OEH/, /files/ENCFF582GSU/	148149312	Gene Yeo, UCSD	884da57d2134a39dc0f31e1b4d3a1a65		https://www.encodeproject.org/files/ENCFF259AFA/@@download/ENCFF259AFA.bam				released	s3://encode-public/2016/09/09/95e1ded0-3701-41c0-af97-c07ae632886c/ENCFF259AFA.bam	Lab custom GRCh38	released			
ENCFF740LLA	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF910QNU/	6612348	Gene Yeo, UCSD	9c027c238f0873e0ef61c942c60ab694		https://www.encodeproject.org/files/ENCFF740LLA/@@download/ENCFF740LLA.bigWig				released	s3://encode-public/2016/11/09/a47bbf46-81cb-49c1-8c8a-fccd48995cf4/ENCFF740LLA.bigWig	Lab custom hg19	archived			
ENCFF769QMS	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF307XYP/	13214190	Gene Yeo, UCSD	342a15d5f9d8b395c1d5eb097c39b6a3		https://www.encodeproject.org/files/ENCFF769QMS/@@download/ENCFF769QMS.bigWig				released	s3://encode-public/2016/11/09/c3446b1d-d076-451d-94a1-9af2e0f210ce/ENCFF769QMS.bigWig	Lab custom hg19	archived			
ENCFF445ALF	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF910QNU/	6998788	Gene Yeo, UCSD	4215abc268dd721faca0e3a933de9617		https://www.encodeproject.org/files/ENCFF445ALF/@@download/ENCFF445ALF.bigWig				released	s3://encode-public/2016/11/09/f9c7c3b6-098d-4aea-b55c-364a172b6540/ENCFF445ALF.bigWig	Lab custom hg19	archived			
ENCFF371AWB	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1							/files/ENCFF307XYP/	13840309	Gene Yeo, UCSD	73a6f9b5182a31429803ba1018208d89		https://www.encodeproject.org/files/ENCFF371AWB/@@download/ENCFF371AWB.bigWig				released	s3://encode-public/2016/11/09/a22018da-6079-467c-b5ed-ee98a59b7127/ENCFF371AWB.bigWig	Lab custom hg19	archived			
ENCFF687IPT	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR506OTC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										TBRG4-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1							/files/ENCFF259AFA/	6458996	Gene Yeo, UCSD	68aa2096ca8c2c192930b9f5dffc5588		https://www.encodeproject.org/files/ENCFF687IPT/@@download/ENCFF687IPT.bigWig				released	s3://encode-public/2016/11/09/85f36a18-ab5a-4838-8335-19db0ce0f2ba/ENCFF687IPT.bigWig	Lab custom GRCh38	released			
